Extract_Date,Report_Period,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
"2021, November 10, Wednesday 06:01:08 AM","2021, October 01, Friday 12:00:00 AM",T8,Departure,Domestic,106034
"2021, June 11, Friday 12:35:47 PM","2021, May 01, Saturday 12:00:00 AM",T4,Departure,Domestic,306640
"2021, June 11, Friday 12:35:47 PM","2021, May 01, Saturday 12:00:00 AM",Miscellaneous Terminal,Departure,Domestic,28784
"2021, June 09, Wednesday 09:21:54 AM","2021, May 01, Saturday 12:00:00 AM",T6,Departure,Domestic,148770
"2021, June 11, Friday 12:35:47 PM","2020, August 01, Saturday 12:00:00 AM",TBIT,Arrival,International,76923
"2021, June 11, Friday 12:35:47 PM","2021, May 01, Saturday 12:00:00 AM",T6,Departure,International,35662
"2021, June 09, Wednesday 09:21:54 AM","2021, May 01, Saturday 12:00:00 AM",T1,Arrival,Domestic,188164
"2021, June 11, Friday 12:35:47 PM","2021, May 01, Saturday 12:00:00 AM",T8,Arrival,Domestic,57833
"2021, June 11, Friday 12:35:47 PM","2021, May 01, Saturday 12:00:00 AM",T8,Departure,International,6351
"2021, June 11, Friday 12:35:47 PM","2021, May 01, Saturday 12:00:00 AM",Miscellaneous Terminal,Arrival,International,320
"2021, June 11, Friday 12:35:47 PM","2020, December 01, Tuesday 12:00:00 AM",TBIT,Arrival,International,120988
"2021, June 29, Tuesday 10:06:21 AM","2021, May 01, Saturday 12:00:00 AM",T5,Arrival,Domestic,349982
"2021, June 11, Friday 12:35:47 PM","2021, May 01, Saturday 12:00:00 AM",T4,Departure,International,11960
"2021, June 11, Friday 12:35:47 PM","2021, April 01, Thursday 12:00:00 AM",TBIT,Arrival,International,154701
"2021, June 11, Friday 12:35:47 PM","2020, November 01, Sunday 12:00:00 AM",TBIT,Departure,International,98776
"2021, June 11, Friday 12:35:47 PM","2021, January 01, Friday 12:00:00 AM",TBIT,Arrival,International,142313
"2021, June 11, Friday 12:35:47 PM","2021, May 01, Saturday 12:00:00 AM",Miscellaneous Terminal,Arrival,Domestic,30574
"2021, June 29, Tuesday 10:06:21 AM","2021, May 01, Saturday 12:00:00 AM",T2,Arrival,Domestic,461734
"2021, June 11, Friday 12:35:47 PM","2021, May 01, Saturday 12:00:00 AM",T7,Departure,International,26862
"2021, June 11, Friday 12:35:47 PM","2021, May 01, Saturday 12:00:00 AM",T7,Arrival,Domestic,167366
"2021, June 29, Tuesday 10:06:21 AM","2021, May 01, Saturday 12:00:00 AM",T5,Departure,International,7026
"2021, June 29, Tuesday 10:06:21 AM","2021, May 01, Saturday 12:00:00 AM",TBIT,Departure,Domestic,73267
"2021, June 29, Tuesday 10:06:21 AM","2021, May 01, Saturday 12:00:00 AM",T2,Departure,International,29119
"2021, June 29, Tuesday 10:06:21 AM","2021, May 01, Saturday 12:00:00 AM",T2,Departure,Domestic,395010
"2021, June 11, Friday 12:35:47 PM","2021, May 01, Saturday 12:00:00 AM",T7,Arrival,International,50595
"2021, June 11, Friday 12:35:47 PM","2021, March 01, Monday 12:00:00 AM",TBIT,Arrival,International,121931
"2021, June 11, Friday 12:35:47 PM","2021, May 01, Saturday 12:00:00 AM",T4,Arrival,International,2118
"2021, November 10, Wednesday 06:01:08 AM","2021, October 01, Friday 12:00:00 AM",T2,Arrival,International,10405
"2021, August 01, Sunday 12:00:23 AM","2021, June 01, Tuesday 12:00:00 AM",T7,Arrival,International,47471
