DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,CargoType,AirCargoTons
04/29/2019 01:10:30 PM,Nov 2018,Arrival,International,Freight,82402
06/01/2020 07:57:59 AM,Apr 2020,Departure,Domestic,Mail,4333
04/18/2018 03:12:41 PM,Dec 2009,Departure,International,Freight,31383
04/18/2018 03:12:41 PM,Oct 2007,Departure,International,Freight,34611
04/18/2018 03:12:41 PM,Dec 2014,Arrival,Domestic,Mail,3984
05/28/2019 06:24:45 AM,Apr 2019,Arrival,Domestic,Mail,3196
04/18/2018 03:12:41 PM,Mar 2016,Arrival,Domestic,Mail,1904
04/18/2018 03:12:41 PM,Feb 2018,Departure,Domestic,Mail,3194
04/18/2018 03:12:41 PM,Aug 2008,Arrival,Domestic,Mail,1561
04/18/2018 03:12:41 PM,Apr 2010,Departure,Domestic,Mail,2155
04/18/2018 03:12:41 PM,Jan 2006,Arrival,Domestic,Freight,35703
04/18/2018 03:12:41 PM,Oct 2006,Departure,International,Mail,1202
04/18/2018 03:12:41 PM,Oct 2013,Arrival,International,Freight,53365
04/18/2018 03:12:41 PM,Dec 2008,Departure,International,Freight,26804
02/02/2021 08:17:02 AM,Nov 2020,Departure,International,Mail,718
04/18/2018 03:12:41 PM,Jul 2007,Departure,International,Mail,1075
04/29/2019 01:10:30 PM,Apr 2018,Arrival,International,Freight,76322
04/18/2018 03:12:41 PM,Nov 2006,Arrival,Domestic,Mail,2158
04/29/2019 01:10:30 PM,May 2018,Departure,International,Freight,53812
07/18/2019 06:18:08 AM,Jun 2019,Arrival,International,Mail,1132
04/18/2018 03:12:41 PM,Jun 2014,Arrival,International,Mail,787
04/29/2020 07:14:24 AM,Mar 2020,Departure,International,Mail,521
04/18/2018 03:12:41 PM,Nov 2010,Arrival,International,Freight,56125
04/18/2018 03:12:41 PM,Jul 2016,Departure,Domestic,Mail,2679
06/24/2019 01:17:06 PM,May 2019,Departure,Domestic,Freight,35486
12/07/2020 01:58:36 PM,Oct 2020,Departure,Domestic,Freight,37083
04/18/2018 03:12:41 PM,Mar 2013,Arrival,Domestic,Freight,32221
04/18/2018 03:12:41 PM,Oct 2011,Arrival,Domestic,Mail,1695
04/18/2018 03:12:41 PM,Dec 2010,Arrival,International,Freight,47371
04/18/2018 03:12:41 PM,Jan 2007,Departure,International,Freight,31805
04/18/2018 03:12:41 PM,Feb 2006,Arrival,Domestic,Freight,35065
11/10/2019 06:01:31 AM,Sep 2019,Departure,International,Freight,47200
04/29/2019 01:10:30 PM,Sep 2018,Arrival,International,Freight,82681
04/18/2018 03:12:41 PM,Oct 2011,Arrival,International,Freight,51532
04/29/2019 01:10:30 PM,Mar 2019,Arrival,International,Freight,72506
03/01/2019 11:09:59 AM,Jan 2019,Arrival,Domestic,Mail,2885
04/18/2018 03:12:41 PM,Oct 2010,Arrival,International,Freight,53766
04/29/2019 01:10:30 PM,Feb 2018,Arrival,International,Freight,59740
04/18/2018 03:12:41 PM,May 2007,Departure,International,Mail,1118
08/21/2018 11:02:45 AM,Jul 2018,Departure,Domestic,Mail,3119
04/18/2018 03:12:41 PM,Nov 2017,Arrival,Domestic,Mail,2841
02/02/2021 08:17:02 AM,Dec 2020,Arrival,Domestic,Mail,4926
08/24/2018 11:01:04 AM,Jul 2018,Arrival,International,Mail,1382
04/18/2018 03:12:41 PM,Oct 2017,Departure,Domestic,Freight,37762
04/18/2018 03:12:41 PM,Sep 2012,Arrival,International,Freight,50889
04/18/2018 03:12:41 PM,Jun 2006,Departure,International,Freight,38843
04/18/2018 03:12:41 PM,Jun 2015,Departure,Domestic,Mail,2578
04/18/2018 03:12:41 PM,May 2011,Departure,International,Mail,1934
04/18/2018 03:12:41 PM,Jun 2009,Arrival,International,Freight,39257
04/18/2018 03:12:41 PM,Feb 2014,Departure,Domestic,Mail,2257
04/18/2018 03:12:41 PM,Jul 2016,Departure,International,Freight,49989
04/18/2018 03:12:41 PM,Apr 2015,Arrival,Domestic,Mail,2508
04/18/2018 03:12:41 PM,Oct 2014,Departure,International,Freight,42323
04/18/2018 03:12:41 PM,Feb 2018,Arrival,International,Mail,1341
